IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;CIRCUITOS ELECTRICOS;COMPUTACION I;COMPUTACION II;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;CALCULO VI;DISENO ASISTIDO POR COMPUTADORA I;DISENO ASISTIDO POR COMPUTADORA II;DISENO TECNICO;ESTRUCTURAS I;ESTRUCTURAS II;ESTRUCTURAS III;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;FISICA IV;FISICA V;FISICA VI;GEOMETRIA ANALITICA;GEOTECNIA I;GEOTECNIA II;HIDRAULICA I;HIDRAULICA II;HORMIGON ARMADO I;IDIOMAS  I;INGLES I;INGLES II;INGLES III;LABORATORIO DE IDIOMAS I;MATERIALES DE OBRAS CIVILES;MECANICA DE MATERIALES I;MECANICA DE MATERIALES II;MECANICA VECTORIAL I;MECANICA VECTORIAL II;METODOLOGIA DE LA INVESTIGACION I;METODOLOGIA DE LA INVESTIGACION II;PROBABILIDAD Y ESTADISTICA;QUIMICA;TECNOLOGIA DEL HORMIGON;TOPOGRAFIA;VIAS DE COMUNICACION I;VIAS DE COMUNICACION II;ALGEBRA LINEAL I;ALGEBRA LINEAL II;ETICA PROFESIONAL
5734;2.0;1;1.0;3;5;2;1.0;3.5416666666666665;3.0;4.0;0.0;4.0;0.0;3.0;4.0;3.0;4.0;5.0;3.0;4.0;0.0;2.0;3.0;3.0;0.0;4.0;5.0;5.0;5.0;5.0;3.0;0.0;5.0;3.0;4.0;4.0;3.0;0.0;2.0;2.0;3.0;3.0;3.0;4.0;0.0;4.0;3.0;4.0;3.0;2.0;2.0;3.0;4.0;5.0;5.0;3.0;0.0;4.0;4.0;3.0;3.0;0.0;4.0;5.0
5735;2.0;2;0.0;3;1;1;1.0;3.5789473684210527;4.0;3.0;4.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;4.0;2.0;4.0;4.0;4.0;3.0;4.0;5.0;5.0;5.0;4.0;2.0;3.0;5.0;3.0;5.0;3.0;4.0;2.0;3.0;2.0;5.0;4.0;5.0;4.0;4.0;3.0;4.0;3.0;2.0;2.0;4.0;3.0;5.0;5.0;5.0;4.0;5.0;3.0;3.0;3.0;3.0;4.0;4.0
5740;2.0;2;0.0;6;12;2;6.0;2.7903225806451615;4.0;4.0;3.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;4.0;3.0;2.0;3.0;2.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;2.0;2.0;4.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;4.0;2.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;5.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;3.0;5.0
5741;3.0;2;0.0;1;0;0;6.0;2.1333333333333333;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5743;3.0;1;0.0;1;1;0;2.0;1.8888888888888888;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5745;3.0;1;0.0;1;0;0;4.0;1.875;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5755;3.0;2;1.0;2;1;0;1.0;2.3333333333333335;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5756;3.0;2;0.0;4;3;0;5.0;2.6363636363636362;2.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;4.0;3.0;3.0;4.0;5.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0
5757;4.0;1;0.0;5;2;0;7.0;2.5555555555555554;2.0;3.0;2.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;4.0;0.0;0.0;0.0;5.0;5.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;3.0;3.0;2.0;2.0;0.0;2.0;0.0;0.0
5832;2.0;1;0.0;4;10;3;3.0;3.4237288135593222;5.0;4.0;5.0;5.0;3.0;3.0;2.0;3.0;4.0;3.0;4.0;5.0;5.0;3.0;3.0;2.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;2.0;4.0;3.0;3.0;4.0;3.0;3.0;2.0;3.0;3.0;2.0;3.0;4.0;5.0;3.0;3.0;4.0;4.0;2.0;3.0;2.0;3.0;5.0;4.0;2.0;4.0;3.0;3.0;2.0;3.0;3.0;4.0;5.0
