IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;ALGEBRA I;AUTOMATIZACION INDUSTRIAL;CIRCUITOS ELECTRICOS I;CIRCUITOS ELECTRICOS II;COMPUTACION II;COMPUTACION I;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;DISENO ASISTIDO POR COMPUTADORA;DISENO TECNICO;ELECTROTECNIA I;ELECTROTECNIA II;ELECTRONICA  DIGITAL II;ELECTRONICA DE POTENCIA I;ELECTRONICA DE POTENCIA II;ELECTRONICA DIGITAL I;ELECTRONICA I;ELECTRONICA II;ELECTRONICA III;ELECTRONICA INDUSTRIAL;EMPRENDEDORISMO;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FUNDAMENTOS DE CONTROL  AUTOMATIZADO II;FUNDAMENTOS DE CONTROL AUTOMATIZADO I;FISICA I;FISICA II;FISICA III;FISICA IV;FISICA V;FISICA VI;GEOMETRIA ANALITICA;IDIOMAS I;INGLES I;INGLES II;INGLES III;INSTALACIONES ELECTRICAS I;LABORATORIO DE IDIOMAS I;MEDICION E INSTRUMENTACION;METODOLOGIA DE LA INVESTIGACION I;MICROCONTROLADORES;PROBABILIDADES Y ESTADISTICAS;PROGRAMACION EN LENGUAJE DE COMPUTADORAS;QUIMICA;SEGURIDAD E HIGIENE LABORAL;SIMULACION DE CIRCUITOS POR COMPUTADORA;ALGEBRA II;ETICA PROFESIONAL
5736;3.0;1;0.0;1;2;0;6.0;2.4375;4.0;3.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0
5753;3.0;1;0.0;0;0;0;2.0;2.6666666666666665;4.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
5754;3.0;1;0.0;0;0;0;0.0;2.625;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
5866;3.0;1;0.0;3;14;0;19.0;2.574074074074074;4.0;2.0;4.0;2.0;2.0;3.0;4.0;2.0;2.0;0.0;0.0;0.0;3.0;3.0;2.0;0.0;1.0;1.0;0.0;3.0;3.0;3.0;1.0;0.0;5.0;5.0;5.0;5.0;4.0;0.0;0.0;4.0;5.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;0.0;2.0;1.0;4.0;3.0;4.0;1.0;4.0;0.0;0.0;3.0;0.0
5868;3.0;2;0.0;1;0;0;8.0;2.757575757575758;5.0;2.0;0.0;0.0;0.0;2.0;4.0;2.0;2.0;0.0;0.0;0.0;4.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;4.0;1.0;0.0;0.0;5.0;5.0;4.0;4.0;4.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;2.0;0.0;0.0;3.0;0.0
5910;2.0;1;0.0;5;3;1;10.0;3.328358208955224;5.0;3.0;3.0;2.0;2.0;5.0;5.0;2.0;2.0;4.0;5.0;5.0;4.0;3.0;2.0;2.0;3.0;4.0;4.0;3.0;5.0;3.0;2.0;3.0;4.0;5.0;4.0;3.0;5.0;5.0;5.0;5.0;5.0;4.0;3.0;2.0;3.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;5.0;3.0;5.0;3.0;5.0;4.0;3.0;5.0;3.0;3.0;5.0;2.0;4.0
5919;3.0;1;0.0;1;0;0;3.0;3.1;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
5956;3.0;1;0.0;1;0;0;0.0;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
5971;3.0;1;0.0;1;6;0;1.0;3.4705882352941178;5.0;2.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;5.0;5.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
5991;2.0;1;0.0;4;5;1;4.0;3.5245901639344264;3.0;2.0;5.0;3.0;2.0;3.0;3.0;2.0;2.0;3.0;5.0;5.0;5.0;3.0;3.0;2.0;4.0;3.0;4.0;3.0;4.0;5.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;2.0;5.0;4.0;3.0;2.0;4.0;4.0;3.0;2.0;5.0;3.0;3.0;4.0;3.0;5.0;3.0;4.0;3.0;3.0;5.0;4.0;4.0
