IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;BASES DE DATOS I;BASES DE DATOS II;COMPUTACION I;COMPUTACION II;COMPUTACION III;CONTABILIDAD I;CALCULO I;CALCULO II;CALCULO III;DERECHO INTELECTUAL Y LABORAL;DISENO DE SISTEMA INFORMATICO I;DISENO TECNICO;ELECTRONICA I;EMPRENDEDORISMO;ESTRUCTURA DE DATOS I;ESTRUCTURAS DE LOS LENGUAJES;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;GEOMETRIA ANALITICA Y VECTORIAL;IDIOMAS I;INFORMATICA I;INGENIERIA DE SOFTWARE I;INGLES II;INGLES III;INGLES I;INVESTIGACION DE OPERACIONES I;LABORATORIO DE IDIOMAS I;LABORATORIO I;LENGUAJE DE PROGRAMACION  I;LENGUAJE DE PROGRAMACION II;LENGUAJE DE PROGRAMACION IV;LENGUAJES DE PROGRAMACION III;MATEMATICA APLICADA;METODOLOGIA DE LA INVESTIGACION I;METODOS NUMERICOS;PROBABILIDADES Y ESTADISTICAS;QUIMICA;REDES DE COMPUTADORAS I;REDES DE COMPUTADORAS II;SISTEMAS OPERATIVOS I;SISTEMAS OPERATIVOS II;TALLER DE HARDWARE I;TALLER DE HARDWARE II;ALGEBRA I;ALGEBRA II;ETICA PROFESIONAL
5317.0;2.0;2.0;0.0;4.0;4.0;0.0;5.0;3.05;4.0;2.0;4.0;2.0;2.0;4.0;4.0;2.0;3.0;2.0;3.0;3.0;5.0;2.0;4.0;5.0;2.0;4.0;4.0;5.0;5.0;3.0;5.0;4.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;5.0;5.0;2.0;2.0;4.0;2.0;4.0;4.0;4.0;2.0;3.0;2.0;3.0;4.0;3.0;3.0;5.0;3.0;4.0;3.0;3.0;3.0;2.0
5318.0;4.0;1.0;0.0;8.0;17.0;1.0;7.0;3.0161290322580645;4.0;2.0;2.0;3.0;3.0;2.0;4.0;2.0;3.0;4.0;5.0;3.0;4.0;3.0;3.0;3.0;2.0;3.0;5.0;4.0;5.0;5.0;5.0;4.0;3.0;3.0;2.0;2.0;3.0;3.0;2.0;5.0;5.0;5.0;2.0;3.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;4.0;3.0;4.0;3.0;2.0;4.0;4.0;5.0;5.0;3.0;2.0;2.0
5319.0;2.0;1.0;0.0;7.0;4.0;1.0;9.0;2.8125;4.0;3.0;2.0;2.0;4.0;2.0;4.0;2.0;2.0;2.0;3.0;4.0;2.0;5.0;4.0;4.0;2.0;2.0;4.0;4.0;5.0;3.0;5.0;3.0;4.0;4.0;2.0;2.0;2.0;4.0;3.0;5.0;4.0;3.0;2.0;2.0;4.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;4.0;3.0;2.0;4.0;3.0;4.0;3.0;4.0;4.0;3.0
5320.0;2.0;1.0;0.0;13.0;15.0;1.0;16.0;2.6619718309859155;3.0;4.0;3.0;3.0;2.0;2.0;4.0;2.0;2.0;2.0;4.0;3.0;3.0;2.0;3.0;4.0;2.0;3.0;5.0;5.0;5.0;3.0;5.0;3.0;2.0;2.0;5.0;2.0;5.0;3.0;2.0;5.0;5.0;5.0;4.0;2.0;4.0;2.0;4.0;3.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;2.0;4.0;3.0;3.0;3.0;2.0;3.0;3.0
5322.0;2.0;2.0;0.0;4.0;3.0;2.0;1.0;3.482142857142857;3.0;4.0;3.0;2.0;4.0;4.0;4.0;3.0;3.0;2.0;5.0;5.0;2.0;4.0;2.0;5.0;2.0;2.0;3.0;4.0;3.0;4.0;5.0;3.0;4.0;5.0;3.0;2.0;4.0;4.0;5.0;4.0;3.0;5.0;3.0;2.0;3.0;3.0;2.0;5.0;3.0;3.0;3.0;2.0;5.0;4.0;5.0;3.0;5.0;4.0;5.0;3.0;4.0;4.0;3.0
5324.0;2.0;2.0;0.0;6.0;6.0;2.0;12.0;2.6417910447761193;3.0;3.0;2.0;2.0;2.0;2.0;5.0;2.0;2.0;2.0;4.0;3.0;4.0;2.0;4.0;4.0;2.0;2.0;4.0;5.0;5.0;4.0;5.0;2.0;4.0;3.0;2.0;2.0;3.0;2.0;2.0;4.0;5.0;5.0;2.0;2.0;3.0;2.0;4.0;5.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;4.0;4.0;3.0;3.0;3.0;2.0;2.0
5325.0;3.0;1.0;0.0;4.0;8.0;0.0;7.0;2.851063829787234;5.0;4.0;2.0;3.0;4.0;2.0;5.0;2.0;0.0;0.0;4.0;3.0;2.0;4.0;4.0;3.0;2.0;2.0;4.0;3.0;4.0;3.0;0.0;3.0;4.0;5.0;2.0;3.0;4.0;4.0;0.0;4.0;3.0;4.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;3.0;2.0;2.0;2.0;0.0;3.0;2.0;5.0;0.0;0.0
5326.0;2.0;1.0;0.0;10.0;5.0;0.0;19.0;2.3513513513513513;4.0;2.0;2.0;2.0;2.0;2.0;5.0;2.0;2.0;2.0;5.0;3.0;2.0;4.0;3.0;3.0;2.0;3.0;4.0;5.0;3.0;4.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;4.0;2.0;2.0;2.0;2.0;4.0;3.0;2.0;3.0;4.0;3.0;2.0;3.0;2.0;2.0;4.0;4.0;3.0;2.0;2.0;2.0;3.0
5327.0;2.0;2.0;0.0;4.0;1.0;4.0;1.0;3.8214285714285716;4.0;4.0;4.0;2.0;4.0;3.0;4.0;2.0;3.0;2.0;5.0;4.0;3.0;5.0;5.0;4.0;3.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;4.0;4.0;5.0;4.0;5.0;5.0;3.0;2.0;4.0;3.0;2.0;4.0;4.0;4.0;4.0;2.0;5.0;4.0;4.0;4.0;5.0;5.0;4.0;4.0;3.0;4.0;2.0
5328.0;3.0;1.0;0.0;2.0;30.0;0.0;1.0;2.8;3.0;0.0;0.0;2.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;5.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5329.0;2.0;2.0;0.0;6.0;4.0;2.0;4.0;3.23728813559322;5.0;3.0;2.0;2.0;3.0;3.0;5.0;2.0;2.0;4.0;5.0;3.0;3.0;2.0;4.0;4.0;2.0;3.0;4.0;5.0;5.0;4.0;5.0;4.0;4.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;5.0;5.0;2.0;3.0;3.0;2.0;4.0;5.0;4.0;2.0;3.0;4.0;3.0;3.0;3.0;2.0;4.0;5.0;3.0;3.0;3.0;4.0;2.0
5330.0;3.0;2.0;0.0;2.0;5.0;0.0;3.0;3.2857142857142856;5.0;3.0;0.0;2.0;3.0;2.0;4.0;1.0;0.0;0.0;3.0;4.0;3.0;3.0;4.0;4.0;0.0;3.0;4.0;4.0;5.0;0.0;0.0;4.0;4.0;5.0;3.0;3.0;0.0;3.0;0.0;4.0;5.0;5.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;4.0;0.0
5332.0;4.0;2.0;0.0;6.0;11.0;2.0;9.0;2.6607142857142856;4.0;3.0;2.0;3.0;2.0;1.0;5.0;2.0;2.0;0.0;4.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;4.0;5.0;5.0;5.0;5.0;4.0;3.0;3.0;2.0;0.0;3.0;3.0;2.0;4.0;5.0;4.0;0.0;2.0;2.0;2.0;3.0;0.0;2.0;0.0;3.0;0.0;2.0;2.0;2.0;2.0;5.0;2.0;3.0;3.0;2.0;0.0;2.0
