IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;ALGEBRA  II;ALGEBRA I;AUTOMATIZACION INDUSTRIAL;CIRCUITOS ELECTRICOS I;CIRCUITOS ELECTRICOS II;COMPUTACION II;COMPUTACION I;CONVERSION DE ENERGIA ELECTRICA  II;CONVERSION DE ENERGIA ELECTRICA I;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;DISENO ASISTIDO POR COMPUTADORA;DISENO TECNICO;ELECTROTECNIA I;ELECTROTECNIA II;ELECTRONICA DE POTENCIA  II;ELECTRONICA DE POTENCIA I;ELECTRONICA DIGITAL I;ELECTRONICA DIGITAL II;ELECTRONICA I;ELECTRONICA II;EMPRENDEDORISMO;EVENTOS Y DEPORTES  II;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA II;FISICA IV;FUNDAMENTOS DE CONTROL AUTOMATIZADO I;FUNDAMENTOS DE CONTROL AUTOMATIZADO II;FISICA  V;FISICA I;FISICA III;FISICA VI;GEOMETRIA ANALITICA;IDIOMAS I;INGLES I;INGLES II;INGLES III;INSTALACIONES ELECTRICAS I;INSTALACIONES ELECTRICAS II;INSTALACIONES ELECTRICAS III;LABORATORIO DE IDIOMAS I;MEDICION E INSTRUMENTACION;METODOLOGIA DE LA INVESTIGACION I;PROBABILIDADES Y ESTADISTICAS;PROGRAMACION EN LENGUAJES DE COMPUTADORA;QUIMICA;SEGURIDAD E HIGIENE LABORAL;ETICA PROFESIONAL
5942.0;2.0;1.0;0.0;4.0;3.0;0.0;5.0;3.4193548387096775;5.0;4.0;4.0;4.0;3.0;2.0;3.0;3.0;4.0;5.0;3.0;2.0;2.0;3.0;4.0;5.0;4.0;3.0;4.0;4.0;3.0;2.0;4.0;4.0;3.0;3.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;2.0;4.0;2.0;5.0;4.0;3.0;5.0;3.0;2.0;4.0;3.0;3.0;3.0;4.0;4.0;5.0;4.0;4.0;3.0;4.0;4.0;3.0;3.0;3.0
5946.0;2.0;1.0;0.0;3.0;5.0;3.0;1.0;3.9827586206896552;4.0;5.0;3.0;5.0;3.0;3.0;4.0;4.0;3.0;5.0;3.0;2.0;2.0;3.0;4.0;5.0;3.0;2.0;4.0;4.0;4.0;3.0;4.0;5.0;4.0;3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;5.0;4.0;5.0;4.0;5.0;5.0;2.0;4.0;4.0;4.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;4.0;5.0;4.0;3.0;5.0;4.0
5998.0;3.0;1.0;0.0;2.0;4.0;0.0;2.0;2.9444444444444446;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;3.0;4.0;3.0;5.0;5.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0
5999.0;3.0;1.0;0.0;2.0;1.0;0.0;2.0;3.125;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;5.0;4.0;5.0;5.0;5.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0
6000.0;3.0;2.0;0.0;2.0;7.0;0.0;3.0;3.3214285714285716;5.0;0.0;0.0;1.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;2.0;0.0;4.0;3.0;4.0;4.0;4.0;4.0;5.0;5.0;0.0;4.0;0.0;0.0;2.0;4.0;0.0;2.0;0.0;0.0;2.0;3.0;4.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;3.0;0.0;0.0
6005.0;3.0;1.0;0.0;2.0;8.0;0.0;0.0;3.375;4.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0;4.0;4.0;5.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0
6013.0;2.0;1.0;0.0;4.0;9.0;1.0;5.0;3.3548387096774195;3.0;4.0;2.0;4.0;3.0;3.0;2.0;3.0;3.0;4.0;4.0;2.0;3.0;5.0;5.0;5.0;2.0;2.0;3.0;4.0;2.0;4.0;3.0;5.0;3.0;4.0;4.0;5.0;5.0;4.0;4.0;5.0;4.0;2.0;2.0;4.0;5.0;3.0;3.0;5.0;4.0;4.0;3.0;4.0;4.0;4.0;2.0;4.0;4.0;2.0;3.0;3.0;5.0;4.0;3.0;4.0;4.0
6027.0;2.0;1.0;0.0;4.0;6.0;0.0;4.0;3.557377049180328;5.0;5.0;3.0;2.0;3.0;4.0;3.0;4.0;2.0;5.0;2.0;3.0;3.0;3.0;3.0;5.0;3.0;3.0;4.0;3.0;4.0;3.0;4.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;4.0;5.0;3.0;2.0;4.0;3.0;4.0;4.0;3.0;3.0;4.0;2.0;3.0;5.0;3.0;4.0;5.0;4.0;4.0;4.0;3.0;4.0;5.0;5.0;3.0;4.0;4.0
6031.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;2.875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
6032.0;3.0;2.0;0.0;2.0;6.0;1.0;4.0;3.2;5.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
